"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0x074986636ca00fc49869324e049e769016166013bac45869503befbbd0c14573",13666648,"2021-11-22 20:37:32+00",19267731667731736,4.894494137884076E+17,0,9.832401337592406E+16,2927019,167217709823,4076.65523413
"0xd25f39e68e419ccb3824775c946b0a9f7b5eb0b3a2b2f0d2fe46268c674cf0f6",13666649,"2021-11-22 20:37:42+00",4.210233356902695E+17,3.997896576196223E+18,0,4.4847562729120134E+17,26582777,150394241211,4076.65523413
"0xa2ebcfe5e93820584ff2ff3cd2f5a297cec9732a407d43cf43ce84c594530681",13666650,"2021-11-22 20:38:22+00",38487653165362976,3.2672896012980864E+17,0,3.1168134747729E+16,1981247,164910765861,4076.65523413
"0x6382251dc81be6274ee2c6582e94ef08d49e9d62e7bc5d256248a95932db4db2",13666651,"2021-11-22 20:38:28+00",6.533292129389347E+16,3.640613033148502E+18,0,1.945070121155493E+17,24762763,147019661463,4076.65523413
"0xff5572b4d3c2745787a1b80ed84a0be4795e785522e7d4e975dc2f880be919a1",13666652,"2021-11-22 20:38:33+00",7.039947344030173E+16,3.879275607641722E+17,0,5.6756090523111E+16,2440093,158980645723,4076.65523413
"0x1e60b27204109e81634d9ce7edd1d1bb36dbf9c5a16e441b0b1b44eb8eb01ce8",13666653,"2021-11-22 20:38:39+00",7.586490392499518E+16,1.5517254696812928E+18,0,1.3451503713007517E+17,10901239,142343954635,4076.65523413
"0xfc949689fedf5d35928fe2c7a9046664d4791f9e15cd961c7e59c83450143c8c",13666654,"2021-11-22 20:38:42+00",20269066353561176,3.261711382479636E+17,0,5.774244754152E+15,2372464,137482017956,4076.65523413
"0xbb038671ce91cfd93f8574c47b38df0d2da9e55308087761b4dddea0cf5a95e3",13666655,"2021-11-22 20:38:44+00",2.66882382873714E+16,4.146120917070413E+17,0,1.8083575142325E+16,3370350,123017517975,4076.65523413
"0x54353acffd7be7c7b89928a2ccadd3fb09554fe2d28e88c3cd849772f26af96b",13666656,"2021-11-22 20:38:52+00",7.337679358055136E+17,3.328408518669203E+18,0,3.8263594239099494E+17,29958082,111102190009,4076.65523413
"0xe98462fd478876314c82fb33cf858c9a1c382da1c725b3870769197f27298ddf",13666657,"2021-11-22 20:39:09+00",1.2739157831976168E+17,1.8247333108279278E+18,0,1.2335359997950515E+17,14600399,124978318115,4076.65523413
"0x403c0f9d5e9e580f44ab812b522643a8a41f3d33905c46842a78d1ffee05c1bc",13666658,"2021-11-22 20:39:12+00",9.175969485904726E+16,7.446392064064571E+17,0,1.778747971326478E+17,5978052,124562182866,4076.65523413
