"hash","number","mined_at","tips","base_fee_sum","contract_creation_sum","eth_transfer_sum","gas_used","base_fee_per_gas","eth_price"
"0xaa217695fa3a90ad0d2ecebda391c6e87a843f8023d0d3c8349ffc5711b56c9d",13660539,"2021-11-21 21:25:14+00",4.64130403233732e+16,1.0912190689607002e+18,0,8.680696420536e+16,7919503,137788832072,4373.04016933
"0x12c5d619ed3f2eac702a53dbb446083b23dfb53a74742b724bbbb7261cafdf91",13660540,"2021-11-21 21:25:18+00",1.7625251615085194e+17,1.5452869652838195e+18,0,1.3069605117643184e+17,11918105,129658780929,4373.04016933
"0xb8c851100d2d52316a5ae177f38526731b0dcc3a9aa830aeacb85f78a3a3ef41",13660541,"2021-11-21 21:25:26+00",3.562311315895331e+17,2.75737134143182e+18,0,2.122537155345604e+17,21824748,126341497342,4373.04016933
"0x1b07a996f29821c57b48208cf8902e0fdfcdb8c4fe7e733527bfa48b17b7dd02",13660542,"2021-11-21 21:25:46+00",1.002485035025297e+17,9.326128008775098e+17,0,7.5735324553959e+16,6982098,133572000977,4373.04016933
"0x00a30e891ea36427744cebdc35b17cce6966d5658e9e9769a9f435bcb8e46581",13660543,"2021-11-21 21:25:56+00",3.713098089060874e+17,1.1967918125015908e+18,1.473715117136442e+17,1.2304937522745e+17,9599671,124670086350,4373.04016933
"0xc25b1647b31240e7b7b790b039718a1a61c462661af31dc80b2b367f101740d7",13660544,"2021-11-21 21:26:13+00",4.547113954572314e+17,3.562154513086124e+18,0,3.926682227828e+17,29909279,119098642033,4373.04016933
"0x2a77bd0dc2da8ee16e1e040c77de994a2058c6d12541d28c3d57b4cbfd948955",13660545,"2021-11-21 21:26:41+00",5.95701792449035e+17,4.0097702200689254e+18,0,8.609753657517998e+17,29927434,133983094577,4373.04016933
"0xc5ce6f21ece8838c6e1e67b442f47f3b582cb2851de827116fa7f404bb86f51f",13660546,"2021-11-21 21:27:13+00",3.634929932438675e+16,2.1878378070744852e+18,0,7.596055144188e+16,14516354,150715379845,4373.04016933
"0xcfb0c8de63b967302e63f0179b2a7e39de64d14024e7fca3b610cd148d76a085",13660547,"2021-11-21 21:27:20+00",2.478170698847171e+16,3.425172967606735e+17,0,6.305284145958e+16,2281535,150125812999,4373.04016933
"0x72a091f4fbeb8e7eb9323382305ecf78bd5186ec9bad73db0b5f3ac1d8812a39",13660548,"2021-11-21 21:27:24+00",3.492580382752322e+17,4.021942746232952e+18,0,3.8333228600788666e+17,29965304,134219988098,4373.04016933
"0x3f0ba08b0c6fcf3da79b6ff101daa2219c57ff7ab0f20fb967e6cd1e4c70a4e2",13660549,"2021-11-21 21:27:53+00",7.575954432031722e+16,1.5280613978876498e+18,0,8.561221929243898e+16,10120177,150991568417,4373.04016933
"0xf50613e115fd2c0bac8eb6eb6ba1ae0d608f15e6a1358fef3f920c5fa5badcc2",13660550,"2021-11-21 21:27:56+00",5.6464087735777914e+17,4.1211866253450245e+18,7.003494630262761e+17,3.5894208755113875e+17,28451109,144851528471,4373.04016933
"0x0eafa8d23af46219279b2f1336b959568d64de1debadfa81510e984107bcab38",13660551,"2021-11-21 21:28:44+00",3.827217878931768e+16,2.5084829740038364e+18,0,1.0150688661686995e+17,15568838,161122042249,4373.04016933
"0x7a267dfdf9f1a33eacf6428ecb35f56bb3bc02093ced77bfcc70248d17a03f6c",13660552,"2021-11-21 21:28:45+00",1.008390320950432e+16,2.4472547584994224e+17,0,6800925530490000.0,1511334,161926798345,4373.04016933
"0x929a571c5320d9054e27ca8fe0f1f22b42c8f90b7218ebbcf260fb88e65c8d53",13660553,"2021-11-21 21:28:47+00",1.2056317731325068e+16,6.004709083123099e+17,0,3.320193344622e+16,4177732,143731313620,4373.04016933
"0xedc0a820611d502e14ab7ef799e2bf5a072cb9d50abbb564bdf2de5662a7e691",13660554,"2021-11-21 21:28:49+00",5.1343765963695194e+17,3.856793851626367e+18,1.5459814262759222e+17,2.4168792917623248e+17,29489909,130783511459,4373.04016933
"0xacc9106602a1e2a155d7344610b38a952b7ab5903bbc3b5403c08a33f31ca4b7",13660555,"2021-11-21 21:28:58+00",4.4169455837782554e+17,3.5315165196119173e+18,0,2.7098778803342464e+17,24083161,146638413438,4373.04016933
"0xcb17dfd0b553852be3b775f585b5340b66f3bd308ec9428e5ec24e6751ff58ef",13660556,"2021-11-21 21:29:23+00",3.322070343804514e+16,5.623000592485159e+17,0,4.969652244417e+16,3564123,157766737918,4373.04016933
"0xb908ea0695c0a58c5eb410afcf109339e5cdae52ca8298ccdeed83c83d0f44d0",13660557,"2021-11-21 21:29:28+00",3.084438648679957e+17,4.1617590653463875e+18,0,3.746948718213758e+17,29156037,142740903551,4373.04016933
"0xd9e50c11008dc94e6444d5782b958235c9075e495d0ee2309fa455fc4d04c0a9",13660558,"2021-11-21 21:30:00+00",4.420452467617476e+17,4.5187356989453087e+18,0,3.955225412929983e+17,28310465,159613616341,4373.04016933
"0xc8e481235701a2eec0e4aab0fa37f7c54b788b039c6f89262549f094d256ab1d",13660559,"2021-11-21 21:30:34+00",3.308921865790304e+16,8.755445696598761e+17,0,2.0488753424716528e+17,4935654,177391804543,4373.04016933
"0x272deb447509a592553e2944c5321ba1a528920109606eb934457f37bcdbe5f7",13660560,"2021-11-21 21:30:36+00",1.9049544413199418e+17,2.4916584103410217e+18,0,2.969262204404587e+17,15331283,162521193454,4373.04016933
"0xb5302bbd140fe0861204f14e5ec418861e8406246b68c6292ef4cf8c1dfc0bb7",13660561,"2021-11-21 21:30:49+00",1.1917384827617283e+17,7.816116070522092e+17,0,5.8180277156925e+16,4796047,162969964025,4373.04016933
"0x9c04d62be7bc51cd78a06e6d54e2be9bf9d45908b3ed0d662480adc771e1b130",13660562,"2021-11-21 21:30:52+00",1.482932177711453e+17,2.452765820921758e+18,1.4948373759081766e+17,2.2233575249006138e+17,16448429,149118546271,4373.04016933
"0xe927bd07f119d062991afaa32d56f5b28087bdc4650ba696ad25a77bd8aa2db6",13660563,"2021-11-21 21:30:58+00",3.5431621337237868e+16,3.011821341460853e+17,0,3.4862187440619e+16,1995660,150918560349,4373.04016933
"0x2d5fe9ec785584b5eaf915b30c028558c4c93894e98bd67d42219e963f50c557",13660564,"2021-11-21 21:31:05+00",1.5404695849203312e+17,1.0576489712359693e+18,0,1.1303341679616e+17,7859845,134563591424,4373.04016933
"0x8a90ffaa6b7daa0535456e2db6d9ec401bcf55da7787947029e481f0791df400",13660565,"2021-11-21 21:31:30+00",0,0,0,0,0,126565499249,4373.04016933
"0x4b2f31b33131be96421570126a16df86dad3e48c204a1394c1d2f3ab1f1b0a86",13660566,"2021-11-21 21:31:31+00",1.5364839817370926e+18,3.3174110061568297e+18,5869475027679000.0,3.1628718262360845e+17,29955453,110744811843,4373.04016933
"0x8f83a408c9bfe63e72744ef6829b6a909e8a01a64cf5d3f17182730fa66cc719",13660567,"2021-11-21 21:31:45+00",5.920480580195245e+17,3.735583727380008e+18,0,2.8514954419507565e+17,29986901,124573850675,4373.04016933
"0xf50ea1d4153198a4ebca6c42757581852c8c6737403e5b3ced5ca69a486b23d9",13660568,"2021-11-21 21:32:01+00",1.5075229716753094e+17,2.5686393849582106e+18,0,1.20653688027684e+17,18330136,140132041844,4373.04016933
"0x54b5a577804e1a655a8af96d672ac7718815c0420007386628aba514ad5a9d83",13660569,"2021-11-21 21:32:11+00",5.4131986504687725e+17,2.2326731034621343e+18,0,3.2702124585312e+17,15484323,144189261840,4373.04016933
"0xce5717ee06619f9487475499d59c549a03e29306d6a52b184a05490aac9da127",13660570,"2021-11-21 21:32:50+00",1.7335109101378656e+17,4.1006178194501985e+18,0,2.007033870968283e+17,28317690,144807638598,4373.04016933
"0xca9f9a397149a4690d0f64ba3b2457b119143f779117a12537bdc4b7896054fb",13660571,"2021-11-21 21:33:00+00",4.968856975485988e+17,2.3019107449552294e+18,0,3.414360390441204e+17,14299465,160978802001,4373.04016933
